DATE,MEHOINUSA672N
2003-01-01,63967
2004-01-01,63745
2005-01-01,64427
2006-01-01,64930
2007-01-01,65801
2008-01-01,63455
2009-01-01,63011
2010-01-01,61364
2011-01-01,60428
2012-01-01,60313
2013-01-01,62425
2014-01-01,61468
2015-01-01,64631
2016-01-01,66657
2017-01-01,67571
2018-01-01,68168
2019-01-01,72808
2020-01-01,71186
2021-01-01,70784
